Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,Continent,Size,id
USA,104196861,1132935,101322779,1741147,1159832679,334805269,North America,Big,1
India,44682784,53074,44150289,1755,915265788,1406631776,Asia,Big,2
France,39524311,164233,39264546,95532,271490188,65584518,Europe,Medium,3
Germany,37779833,165711,37398100,216022,122332384,83883596,Europe,Big,4
Brazil,36824580,697074,35919372,208134,63776166,215353593,South America,Big,5
Japan,32588442,68399,21567425,10952618,92144639,125584838,Asia,Big,6
S. Korea,30197066,33486,29740877,422703,15804065,51329899,Asia,Medium,7
Italy,25453789,186833,25014986,25197,265478247,60262770,Europe,Medium,8
UK,24274361,204171,24020088,50102,522526476,68497907,Europe,Medium,9
Russia,21958696,395108,21356008,20758,273400000,145805947,Europe,Big,10
Spain,13731478,118434,13557699,55345,471036328,46719142,Europe,Medium,11
Vietnam,11526508,43186,10612479,870843,85826548,98953541,Asia,Big,12
Australia,11295446,18615,11235771,4106,78835048,26068792,Oceania,Medium,13
Argentina,10037135,130421,9877032,29682,35716069,46010234,South America,Medium,14
Taiwan,9569611,16356,9129766,423489,30207485,23888595,Asia,Medium,15
Netherlands,8582500,22989,8547771,1174,25984435,17211447,Europe,Medium,16
Iran,7564350,144749,7337549,82052,54420785,86022837,Asia,Big,17
Mexico,7368252,332198,6606633,429421,19356195,131562772,North America,Big,18
Indonesia,6730289,160817,6565208,4264,114158919,279134505,Asia,Big,19
Poland,6380225,118736,5335940,925549,38118630,37739785,Europe,Medium,20
Colombia,6356309,142486,6179501,34322,36951507,51512762,South America,Medium,21
Austria,5780229,21689,5730189,28351,211273524,9066710,Europe,Small,22
Greece,5708301,3563,5662212,10459,102228365,10316637,Europe,Medium,23
Portugal,5563907,26022,5532366,5519,45915651,10140570,Europe,Medium,24
Ukraine,5370131,11102,5253302,5809,32603805,43192122,Europe,Medium,25
Chile,5118981,63812,5051555,3614,48127301,19250195,South America,Medium,26
Malaysia,5036593,36942,4989861,979,67665089,33181072,Asia,Medium,27
Israel,4786189,12193,4768242,5754,41373364,9326000,Asia,Small,28
Thailand,4726984,33865,4692636,483,17270775,70078203,Asia,Big,29
Belgium,4691499,33557,4644681,13261,36548544,11668278,Europe,Medium,30
Czechia,4590019,42312,4538304,9403,56893223,10736784,Europe,Medium,31
Canada,4550256,5038,4444013,55863,66343123,38388419,North America,Medium,32
Peru,4481621,218931,4258688,4002,37754603,33684208,South America,Medium,33
Switzerland,4385701,14452,4366770,4479,23318743,8773637,Europe,Small,34
Philippines,4073454,65802,3998048,9604,34343332,112508994,Asia,Big,35
South Africa,4055966,102595,3912506,40865,26473049,60756135,Africa,Medium,36
Romania,3325006,67576,3252104,5326,26389988,19031335,Europe,Medium,37
Denmark,3173247,8145,3163849,1253,129144754,5834950,Europe,Small,38
Hong Kong,2877280,13358,2509483,354439,76123870,7604299,Asia,Small,39
Sweden,2693458,23246,2658039,12173,19410527,10218971,Europe,Medium,40
Serbia,2471198,17701,2440527,1297,12154486,8653016,Europe,Small,41
Iraq,2465545,25375,2439497,673,19544451,42164965,Asia,Medium,42
Singapore,2217110,1722,2144490,70898,24756666,5943546,Asia,Small,43
Hungary,2192447,48677,2139857,3913,11394556,9606259,Europe,Small,44
New Zealand,2182355,3781,2169320,9254,7710637,4898203,Oceania,Small,45
Bangladesh,2037556,29442,1992694,1542,15247014,167885689,Asia,Big,46
Slovakia,1860893,20946,1839309,638,7390781,5460193,Europe,Small,47
Georgia,1814180,16926,1776548,20706,16920079,3968738,Asia,Small,48
Jordan,1746997,14122,1731007,1868,17201885,10300869,Asia,Medium,49
Ireland,1700253,8462,1685183,6608,12984257,5020199,Europe,Small,50
Pakistan,1576313,3064,1538689,6984,30570862,229488994,Asia,Big,51
Norway,1477856,5112,1471835,909,11002430,5511370,Europe,Small,52
Finland,1458619,8639,1447569,2411,12017711,5554960,Europe,Small,53
Kazakhstan,1405917,13695,1383020,9202,11575012,19205043,Asia,Medium,54
Slovenia,1321852,7056,1311159,3637,2824843,2078034,Europe,Small,55
Lithuania,1296865,9545,1282528,4792,10350770,2661708,Europe,Small,56
Bulgaria,1295426,38179,1254491,2756,10987749,6844597,Europe,Small,57
Morocco,1272240,16296,1255881,63,12930733,37772756,Africa,Medium,58
Croatia,1267580,17877,1249168,535,5476183,4059286,Europe,Small,59
Lebanon,1228639,1079,1087587,130262,4795578,6684849,Asia,Small,60
